source_record,id,category,partition
239,134,Refund/Cancellation,training
240,214,Product/Stock Inquiry,training
241,126,Refund/Cancellation,training
242,250,Order Status Inquiry,training
243,372,Promotion/Discount Inquiry,training
244,22,Payment Issue,training
245,39,Payment Issue,training
246,68,Delivery Issue,training
247,166,Product/Stock Inquiry,training
248,316,Account/Login Issue,training
249,127,Refund/Cancellation,training
250,248,Order Status Inquiry,training
252,90,Delivery Issue,test
253,400,General Inquiry,test
254,348,Promotion/Discount Inquiry,training
256,139,Refund/Cancellation,training
258,368,Promotion/Discount Inquiry,training
261,5,Payment Issue,training
262,244,Order Status Inquiry,training
263,119,Refund/Cancellation,training
264,87,Delivery Issue,training
265,26,Payment Issue,test
266,329,Account/Login Issue,training
269,209,Product/Stock Inquiry,training
270,377,Promotion/Discount Inquiry,training
272,242,Order Status Inquiry,training
274,169,Product/Stock Inquiry,test
276,274,Order Status Inquiry,training
277,301,Account/Login Issue,training
278,121,Refund/Cancellation,training
280,56,Delivery Issue,training
281,145,Refund/Cancellation,training
282,115,Refund/Cancellation,training
283,320,Account/Login Issue,training
284,151,Refund/Cancellation,test
285,91,Delivery Issue,training
286,60,Delivery Issue,training
287,300,Account/Login Issue,training
289,403,General Inquiry,training
290,17,Payment Issue,training
291,186,Product/Stock Inquiry,training
292,273,Order Status Inquiry,training
294,418,General Inquiry,training
295,141,Refund/Cancellation,training
296,172,Product/Stock Inquiry,training
297,363,Promotion/Discount Inquiry,test
298,167,Product/Stock Inquiry,training
300,95,Delivery Issue,training
301,97,Delivery Issue,training
305,4,Payment Issue,training
308,182,Product/Stock Inquiry,training
309,243,Order Status Inquiry,training
311,110,Delivery Issue,test
312,412,General Inquiry,training
314,280,Account/Login Issue,training
315,116,Refund/Cancellation,training
317,304,Account/Login Issue,training
318,35,Payment Issue,training
319,174,Product/Stock Inquiry,training
320,362,Promotion/Discount Inquiry,training
321,344,Promotion/Discount Inquiry,training
324,189,Product/Stock Inquiry,training
325,335,Promotion/Discount Inquiry,test
327,27,Payment Issue,training
328,105,Delivery Issue,training
329,247,Order Status Inquiry,training
330,241,Order Status Inquiry,test
332,297,Account/Login Issue,training
334,264,Order Status Inquiry,training
335,148,Refund/Cancellation,training
336,204,Product/Stock Inquiry,training
338,310,Account/Login Issue,training
339,19,Payment Issue,training
341,88,Delivery Issue,training
342,414,General Inquiry,training
343,392,General Inquiry,training
345,23,Payment Issue,training
346,355,Promotion/Discount Inquiry,training
347,415,General Inquiry,training
349,200,Product/Stock Inquiry,training
351,94,Delivery Issue,training
353,34,Payment Issue,training
354,236,Order Status Inquiry,test
355,33,Payment Issue,training
356,123,Refund/Cancellation,test
357,421,General Inquiry,training
358,222,Order Status Inquiry,training
360,306,Account/Login Issue,training
361,24,Payment Issue,training
363,71,Delivery Issue,training
364,133,Refund/Cancellation,training
365,10,Payment Issue,test
367,59,Delivery Issue,training
368,129,Refund/Cancellation,training
369,211,Product/Stock Inquiry,training
371,260,Order Status Inquiry,training
372,251,Order Status Inquiry,training
374,96,Delivery Issue,training
375,69,Delivery Issue,training
376,41,Payment Issue,training
377,303,Account/Login Issue,training
378,376,Promotion/Discount Inquiry,test
380,413,General Inquiry,training
381,210,Product/Stock Inquiry,training
383,142,Refund/Cancellation,training
385,314,Account/Login Issue,training
386,137,Refund/Cancellation,training
387,326,Account/Login Issue,test
389,265,Order Status Inquiry,training
390,289,Account/Login Issue,test
391,336,Promotion/Discount Inquiry,training
392,179,Product/Stock Inquiry,test
394,100,Delivery Issue,training
395,199,Product/Stock Inquiry,test
396,367,Promotion/Discount Inquiry,training
397,57,Delivery Issue,training
398,224,Order Status Inquiry,training
399,146,Refund/Cancellation,training
402,364,Promotion/Discount Inquiry,training
404,287,Account/Login Issue,training
405,288,Account/Login Issue,training
406,334,Promotion/Discount Inquiry,training
408,12,Payment Issue,test
411,261,Order Status Inquiry,test
412,11,Payment Issue,training
414,245,Order Status Inquiry,training
416,73,Delivery Issue,training
417,138,Refund/Cancellation,training
418,358,Promotion/Discount Inquiry,training
419,6,Payment Issue,test
420,9,Payment Issue,training
422,28,Payment Issue,training
423,76,Delivery Issue,training
427,156,Refund/Cancellation,training
428,313,Account/Login Issue,test
430,20,Payment Issue,training
433,361,Promotion/Discount Inquiry,training
434,359,Promotion/Discount Inquiry,training
436,293,Account/Login Issue,training
437,365,Promotion/Discount Inquiry,training
440,374,Promotion/Discount Inquiry,training
441,390,General Inquiry,test
442,170,Product/Stock Inquiry,training
444,285,Account/Login Issue,training
447,294,Account/Login Issue,training
450,32,Payment Issue,training
